Unique Poem#	Juan.Seq#	Poem Name	Poet's Name	Poet Intro	Poem Refs	Poem Commentary	Poem Content
Lu1983.001	1.1	【大風】	漢高帝劉邦	〈邦。字季。沛豐邑中陽里人。初為泗上亭長。秦二世元年。起兵。稱沛公。明年。楚懷王以為碭郡長。封武安侯。以子嬰元年西入關。立為漢王。都南鄭。以漢五年破項羽。即皇帝位。都長安。漢十二年卒。年五十三。謚曰高皇帝。〉	〖《史記》又名三侯之章。〗	〖《漢書》曰：十二年冬。上破布軍于會缶。布走。令別將追之。上還。過沛。留。置酒沛宮。悉召故人父《老子》弟佐酒。發沛中兒得百二十人。教之歌。酒酣。上擊築自歌曰：〗	大風起兮雲飛揚。威加海內兮歸故鄉。安得猛士兮守四方。（○《漢書》高帝紀。《史記》高祖紀。《文選》二十八。《史記》樂書三侯之章下司馬貞索隱。《書鈔》一百六。《類聚》四十三。《白帖》十八。《御覽》八、八十七、二百四十一、五百三十九、五百九十一。《樂府詩集》五十八。《詩紀》一。又魏志蔣濟傳作高祖引方一韻。倭名《類聚》一引揚一韻。）
Lu1983.002	1.2	【鴻鵠】	漢高帝劉邦	〈邦。字季。沛豐邑中陽里人。初為泗上亭長。秦二世元年。起兵。稱沛公。明年。楚懷王以為碭郡長。封武安侯。以子嬰元年西入關。立為漢王。都南鄭。以漢五年破項羽。即皇帝位。都長安。漢十二年卒。年五十三。謚曰高皇帝。〉	〖《樂府詩集》作楚歌。〗	〖《漢書》曰：上欲廢太子。立戚夫人子趙王如意。漢十二年。上從破布歸。疾益甚。愈欲易太子。及宴。置酒。太子侍。四人者從太子。年皆八十有餘。鬚眉皓白。衣冠甚偉。為壽已畢。趨去。上目送之。召戚夫人指視曰：我欲易之。四人為之輔。羽翼已成。難動矣。戚夫人泣涕。上曰：為我楚舞。吾為若楚歌。歌曰：〗	鴻鵠高飛。一舉千里。羽翼就。橫絕四海。橫絕四海。又可奈何。雖有矰繳。尚雲。安所施。（○《漢書》張良傳。《史記》留侯世家。《書鈔》一百六。《白帖》二十九。歷世《真仙體道通鑒》十。《樂府詩集》八十三。《文選》補遺三十五。廣《文選》十四。《詩紀》一。○逯案。《白帖》所引有兮字。更合楚歌體。其所據書。當為《楚漢春秋》。史通曰：劉氏初興。書惟陸賈而已。子長述楚漢之事。專據此書。然觀遷之所載往往與舊不同。如酈生之初謁沛公。高祖之長歌鴻鵠。非惟文句有別。遂乃事理皆殊云云。可為確證。）
Lu1983.003	1.3	【歌】	楚霸王項羽	〈羽名籍。一字子羽。下相人。楚將項燕孫。秦二世元年。從季父梁起兵。為裨將。二年。楚懷王以為次將。封魯公。三年。拜上將軍。漢元年。自立為西楚霸王。都彭城。五年。兵敗走烏江。自刎死。年三十一。〉		〖《漢書》曰：高祖圍項羽垓下。是夜聞漢軍皆楚歌。驚曰：漢已得楚乎。起飲帳中。有美人名虞常從之。駿馬名騅。常騎之。乃悲歌慷慨。自為歌曰：〗	力拔山兮氣蓋世。時不利兮騅不逝。騅不逝兮可奈何。虞兮虞兮奈若何。（○《漢書》項羽傳。《史記》項羽本紀。《御覽》八十七、五百七十。《樂府詩集》五十八作力拔山操。《文選》補遺三十五作垓下帳中歌。《詩紀》二作垓下歌。○逯案。《文選》補遺與《詩紀》標題各異。然皆涉杜撰。今從《漢書》只曰歌。《樂府詩集》引琴集雲。力拔山操。項羽所作也。則此歌曰操。亦後起之名。）
Lu1983.004	1.4	【和項王歌】	美人虞	〈虞。項王幸姬。括地誌雲。虞姬墓在濠州定遠縣東六十里。〉		〖《史記》曰：項王夜起。飲帳中。有美人名虞。常幸從。駿馬名騅。常騎之。於是項王乃悲歌慷慨。自為詩。歌數闋。美人和之。〗	漢兵已略地。四方楚歌聲。大王意氣盡。賤妾何樂生。（○《史記》項羽本紀正義引《楚漢春秋》。《詩紀》二。○逯案。四方。《詩紀》作四面。何樂。《詩紀》作何聊。今據正義改正。）
Lu1983.005	1.5	【歌】	四皓	〈四皓者。用里先生、綺里季夏、黃公、東園公。皆河內之枳人。秦世隱商山。〉		〖崔琦四皓頌曰：昔南山四皓者。蓋甪里先生、綺里季夏、黃公、東園公是也。秦之博士。遭世暗昧。道滅德消。坑黜儒術。詩書是焚。於是四公退而作歌曰：〗	莫莫高山。深谷逶迤。曄曄紫芝。可以療飢。唐虞世遠。吾將何歸。駟馬高蓋。其憂甚大、富貴之畏人兮。不若貧賤之肆志。（樂府作而輕世。《文選》補遺同。廣《文選》作之輕世。《詩紀》雲。一作富貴而畏人。不如貧賤而輕世。○《御覽》五百七十三引崔琦曰皓頌。《樂府詩集》五十八誤作崔鴻四皓歌。《御覽》五百七引《高士傳》。環宇記一百四十引《高士傳》。《御覽》一百六十八引皇甫謐《帝王世紀》。《文選》補遺三十五作采芝歌。事類賦歌賦。苕溪漁隱叢話後集一。文章正宗二十九作紫芝歌。草堂詩箋八注、十一注。廣《文選》十四作采芝歌。《詩紀》二作紫芝歌。注。一作四皓歌。又《書鈔》一百六崔琦四皓頌引夷、飢、歸三韻。）
Lu1983.006	1.6	【采芝操】	四皓	〈四皓者。用里先生、綺里季夏、黃公、東園公。皆河內之枳人。秦世隱商山。〉	〖《詩紀》雲。一作紫芝歌。〗	〖《樂府詩集》曰：琴集曰：采芝操。四皓所作也。古今樂錄曰：南山四皓隱居。高祖聘之。四皓不甘。仰天嘆而作歌。案《漢書》曰：四皓皆八十餘。鬚眉皓白。故謂之四皓。即東園公、綺里季夏、黃公、甪里先生也。崔鴻曰：四皓為秦博士。遭世暗昧。坑黜儒術。於是退而作此歌。亦謂之四皓歌。二說不同。未知孰是。○逯案。琴集此操。與前篇實為一作。特刪取稍異耳。《詩紀》從《樂府詩集》。此在前。今改附於后。〗	皓天嗟嗟。深谷逶迤。樹木莫莫。高山崔嵬。嚴居穴處。以為幄茵。曄曄紫芝。可以療飢。唐虞往矣。吾當安歸。（○《樂府詩集》五十八引琴集。廣《文選》十四。《詩紀》二。）
Lu1983.007	1.7	【舂歌詩】	戚夫人	〈夫人。高帝姬。定陶人。生趙隱王如意。如意高帝所愛。幾於立為太子。惠帝元年。呂后害之。〉	〖紀雲。一作永巷歌。〗	〖《漢書》曰：呂後為皇太后。乃令永巷囚戚夫人。髡鉗衣赭衣。令舂。戚夫人舂且歌曰云云。太后聞之。大怒。召趙王殺之。遂斷夫人手足。去眼薰耳。飲暗。使居鞠域中。名曰人彘。〗	子為王。母為虜。終日舂薄暮。常與死為伍。相離三千里。當誰使告女。（○《漢書》外戚傳。《御覽》百三十六、百四十四、五百七十。《樂府詩集》八十四。《詩紀》二。）
Lu1983.008	1.8	【歌】	趙王劉友	〈友。高帝子。十一年立為淮陽王。趙隱王如意死。孝惠元年。徙友王趙。凡立十年。高后三年幽死。〉	〖《詩紀》作幽歌。〗	〖《漢書》曰：孝惠時。友以諸呂女為后。不愛。愛它姬。諸呂女讒之於太后。太后怒。召趙王置邸。令衛圍守之。趙王餓。乃作歌。遂幽死。以民禮葬之長安。〗	諸呂用事兮劉氏微。迫脅王侯兮彊授我妃。我妃既妒兮誣我以惡。讒女亂國兮上曾不寤。我無忠臣兮何故棄國。自快中野兮蒼天與直。于嗟不可悔兮寧早自賊。為王餓死兮誰者憐之。呂氏絕理兮托天報仇。（○《漢書》高五王傳趙王傳。《史記》呂后本紀。《樂府詩集》八十四。《詩紀》一。又《御覽》百五十一引危、妃、惡、寤四韻。）
Lu1983.009	1.9	【耕田歌】	城陽王劉章	〈章。齊悼惠王肥之子。高帝之孫。高后稱制。封為朱虛侯。高后崩。以平諸呂迎立文帝功。封城陽王。孝文二年卒。謚曰景。〉	〖《詩紀》雲。耕一作種。〗	〖《史記》曰：趙王友入朝。幽死於邸。三趙王皆廢。高后立諸呂為三王。擅權用事。朱虛侯年二十。有氣力。忿劉氏不得職。嘗入侍高後燕飲。高后令為酒吏。章自請曰：臣。將種也。請以軍法行酒。高后曰：可。酒酣。章進飲歌舞。已而曰：請為太后言耕田歌云云。高后默然。〗	深耕穊種。立苗欲疏。非其種者。鋤而去之。（○《史記》齊悼惠王世家。《漢書》齊悼惠王傳。風俗通怪神篇。《御覽》四百三十四、七百六十四、八百二十二。《文選》補遺三十五。事類賦斂篇注。《詩紀》一。）
Lu1983.010	1.10	【瓠子歌】	漢武帝劉徹	〈徹。景帝中子。四年。封膠東王。七年。立為皇太子。后三年正月即位。在位五十四年。后元二年卒。年七十一。有集二卷。〉		〖《漢書》武帝紀曰：元封二年四月。作瓠子歌。溝洫志曰：上既封禪。乃使汲仁、郭昌發卒數萬人。塞瓠子決河。於是上以用事萬里沙。則還自臨決河。湛白馬玉璧。令群臣從官自將軍以下皆負薪實決河。是時東郡燒草。以故薪柴少。而下淇園之竹以為揵。上既臨河決。悼功之不成。乃作歌曰：〗	瓠子決兮將奈何。浩浩洋洋兮慮殫為河。殫為河兮地不得寧。功無已時兮吾山平。吾山平兮鉅野溢。魚弗郁兮柏冬日。正道馳兮離常流。蛟龍騁兮放遠遊。歸舊川兮神哉沛。不封禪兮安知外。皇謂河公兮何不仁。泛濫不止兮愁吾人。齒桑浮兮淮泗滿。久不反兮水維緩。（○《漢書》溝洫志。《史記》河渠書。《水經注》瓠子河注。《樂府詩集》八十四。《文選》補遺三十五。廣《文選》十四。《詩紀》一。又《類聚》四十三引何、河、寧、平、溢、日六韻。環宇記十三引溢、日二韻。韻補三引游一韻。）XX河湯湯兮激潺湲。北渡回兮迅流難。搴長筊兮湛美玉。河公許兮薪不屬。薪不屬兮衛人罪。燒蕭條兮噫乎何以御水。隤林竹兮揵石菑。宣防塞兮萬福來。（○《漢書》溝洫志。《史記》河渠書。水經二十四。《樂府詩集》八十四。《文選》補遺三十五。廣《文選》十四。《詩紀》一。又《書鈔》八十九引一句。）
